assessment_name,description,test_type,category,url
Account Manager Solution,Account Manager Solution : The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations…,K,CPAB,https://www.shl.com/products/product-catalog/view/account-manager-solution/
Administrative Professional - Short Form,Administrative Professional - Short Form: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…,Unknown,AKP,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/
Agency Manager Solution,Agency Manager Solution: The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this…,Unknown,ABPS,https://www.shl.com/products/product-catalog/view/agency-manager-solution/
Apprentice + 8.0 Job Focused Assessment,"Apprentice + 8.0 Job Focused Assessment: The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This…",K,BP,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
Apprentice 8.0 Job Focused Assessment,"Apprentice 8.0 Job Focused Assessment: The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions…",K,BP,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
Bank Administrative Assistant - Short Form,Bank Administrative Assistant - Short Form: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs…,Unknown,ABKP,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/
Bank Collections Agent - Short Form,Bank Collections Agent - Short Form: This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple…,P,ABP,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/
Bank Operations Supervisor - Short Form,Bank Operations Supervisor - Short Form: The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks…,Unknown,ABPS,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/
Bilingual Spanish Reservation Agent Solution,Bilingual Spanish Reservation Agent Solution: The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include…,Unknown,BPSA,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
"Bookkeeping, Accounting, Auditing Clerk Short Form","Bookkeeping, Accounting, Auditing Clerk Short Form: The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and…",K,PSKBA,https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/
Branch Manager - Short Form,Branch Manager - Short Form: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure…,P,ABP,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/
Cashier Solution,"Cashier Solution: The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased…",P,BAP,https://www.shl.com/products/product-catalog/view/cashier-solution/
Global Skills Development Report,"Global Skills Development Report : This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this…",P,AEBCDP,https://www.shl.com/products/product-catalog/view/global-skills-development-report/
.NET Framework 4.5,".NET Framework 4.5: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application…",K,K,https://www.shl.com/products/product-catalog/view/net-framework-4-5/
.NET MVC (New),".NET MVC (New): Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",K,K,https://www.shl.com/products/product-catalog/view/net-mvc-new/
.NET MVVM (New),".NET MVVM (New): Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",K,K,https://www.shl.com/products/product-catalog/view/net-mvvm-new/
.NET WCF (New),".NET WCF (New): Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",K,K,https://www.shl.com/products/product-catalog/view/net-wcf-new/
.NET WPF (New),".NET WPF (New): Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF…",K,K,https://www.shl.com/products/product-catalog/view/net-wpf-new/
.NET XAML (New),".NET XAML (New): Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",K,K,https://www.shl.com/products/product-catalog/view/net-xaml-new/
Accounts Payable (New),"Accounts Payable (New): Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",K,K,https://www.shl.com/products/product-catalog/view/accounts-payable-new/
Accounts Payable Simulation (New),Accounts Payable Simulation (New): Simulated data entry test that measures the ability to process payables and vendor invoices.,K,S,https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/
Accounts Receivable (New),Accounts Receivable (New): Multiple-choice test that measures the knowledge of processing receivables and invoices.,K,K,https://www.shl.com/products/product-catalog/view/accounts-receivable-new/
Accounts Receivable Simulation (New),Accounts Receivable Simulation (New): Simulated data entry test that measures the ability to process receivables and invoices.,K,S,https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/
ADO.NET (New),"ADO.NET (New): Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",K,K,https://www.shl.com/products/product-catalog/view/ado-net-new/
personalized report,"Every participant receives ahighlighting their strengths, development areas, and practical next steps.",Unknown,,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/
